model,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
mask_before,0.6472562476642116,0.007319666688657819,0.647 ± 0.007,0.5802861685214626,0.005367867413715156,0.580 ± 0.005,0.854047861079188,0.0024248837457504033,0.854 ± 0.002,0.8090684253915912,0.0027230246603320257,0.809 ± 0.003,0.6118182993817417,0.004481534133489734,0.612 ± 0.004
mask_after,0.8748536332400814,0.0005061212197733289,0.875 ± 0.001,0.9107455372768637,0.003864484879903543,0.911 ± 0.004,0.8863464228063724,0.0015541223702343686,0.886 ± 0.002,0.8448292924294905,0.0025964276589696524,0.845 ± 0.003,0.892424843810201,0.002012580707839602,0.892 ± 0.002
general_before,0.7260810445933077,0.003767845153986992,0.726 ± 0.004,0.7447900466562987,0.0033572368810144497,0.745 ± 0.003,0.7889162642219858,0.0048144462439799075,0.789 ± 0.005,0.7157460840890354,0.0036208064725470335,0.716 ± 0.004,0.7353036634373653,0.0032252531719653217,0.735 ± 0.003
general_after,0.8455498786406833,0.0018261643735061235,0.846 ± 0.002,0.8824854899283032,0.0015207277194482906,0.882 ± 0.002,0.8392080066822558,0.0009180616296015706,0.839 ± 0.001,0.7980207817911924,0.0019221103017867485,0.798 ± 0.002,0.8636167612392891,0.001236750549368476,0.864 ± 0.001
