model,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
mask_before,0.6040549328535163,0.0068544112587814645,0.604 ± 0.007,0.6960254372019078,0.0027719548130624373,0.696 ± 0.003,0.8610519387107818,0.002564536491432375,0.861 ± 0.003,0.8027205276174773,0.0032051124775422575,0.803 ± 0.003,0.646665276006363,0.003438504726417234,0.647 ± 0.003
mask_after,0.8975636259428267,0.0014845892036795057,0.898 ± 0.001,0.88008400420021,0.0035047222824526247,0.880 ± 0.004,0.8921089514391332,0.0021698652499522464,0.892 ± 0.002,0.844235526966848,0.002360845212881705,0.844 ± 0.002,0.8887200951289744,0.0018494886118246739,0.889 ± 0.002
general_before,0.731507281089173,0.004420057857854104,0.732 ± 0.004,0.7311041990668741,0.006371617550737639,0.731 ± 0.006,0.7920114048729912,0.003350074294142306,0.792 ± 0.003,0.7151690024732069,0.004352578747308917,0.715 ± 0.004,0.7312458930259976,0.0043791449588840145,0.731 ± 0.004
general_after,0.8855039964249375,0.0010360112228769303,0.886 ± 0.001,0.798361215431888,0.0021770295072625345,0.798 ± 0.002,0.8493516365299509,0.000509962534087171,0.849 ± 0.001,0.7790697674418605,0.0007940032922257042,0.779 ± 0.001,0.8396656539372218,0.0008272995548748786,0.840 ± 0.001
