model,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
mask_before,0.48099497161502647,0.003350319384153618,0.481 ± 0.003,0.7567567567567568,0.006874959717150914,0.757 ± 0.007,0.8175101940789853,0.0032515222218994335,0.818 ± 0.003,0.7251442704039571,0.0028659098591539522,0.725 ± 0.003,0.5880856416492571,0.0033355595094905696,0.588 ± 0.003
mask_after,0.8828142699590416,0.0011632807323000258,0.883 ± 0.001,0.7824991249562478,0.0023599590942999767,0.782 ± 0.002,0.8384438546821856,0.0015981196960544234,0.838 ± 0.002,0.7728352300841168,0.001101982060926282,0.773 ± 0.001,0.8296220484192448,0.001063625793739015,0.830 ± 0.001
general_before,0.6922392196228946,0.002499652513922447,0.692 ± 0.002,0.7,0.005758478563475477,0.700 ± 0.006,0.7369067692559549,0.00262789480998564,0.737 ± 0.003,0.6760098928277,0.003179564843475177,0.676 ± 0.003,0.6960646037700636,0.00368676324219692,0.696 ± 0.004
general_after,0.8589826648601392,0.0018771966032261032,0.859 ± 0.002,0.7257767156025947,0.0038344849862339794,0.726 ± 0.004,0.7788107094007104,0.0013464453029632226,0.779 ± 0.001,0.7149430974764968,0.003009168437853855,0.715 ± 0.003,0.7867615051659593,0.002598790534501856,0.787 ± 0.003
