model,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
mask_before,0.48950862251239496,0.003682618592397596,0.490 ± 0.004,0.7268680445151032,0.004884671381792448,0.727 ± 0.005,0.8144258271823821,0.0029864409971698007,0.814 ± 0.003,0.7325638911788952,0.002895401373262314,0.733 ± 0.003,0.5849748796284991,0.003138987825233344,0.585 ± 0.003
mask_after,0.889064371692651,0.0017477423386375996,0.889 ± 0.002,0.8539026951347568,0.0053250995857042965,0.854 ± 0.005,0.8641875089535066,0.0032584736631031124,0.864 ± 0.003,0.8214250371103414,0.0039918493331406535,0.821 ± 0.004,0.87109962898583,0.003189731410531545,0.871 ± 0.003
general_before,0.7028115904052677,0.00738695373393028,0.703 ± 0.007,0.6811819595645413,0.0106108181047687,0.681 ± 0.011,0.7413462797740853,0.00587414349587059,0.741 ± 0.006,0.6779060181368508,0.004241067144894295,0.678 ± 0.004,0.6914578806277959,0.004515178198460135,0.691 ± 0.005
general_after,0.877820504014205,0.003143128157652558,0.878 ± 0.003,0.7048822123591669,0.0117976009812412,0.705 ± 0.012,0.7975653815962506,0.0029718599274417648,0.798 ± 0.003,0.7149430974764968,0.00639830310467823,0.715 ± 0.006,0.7816234071754504,0.00664634271586676,0.782 ± 0.007
