params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7958820389206864,0.732120253164557,0.8106537577609858,0.7309560884459672,0.7626658529873621
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.794823868278433,0.7372362869198312,0.8106070815485072,0.7324820928059794,0.7649412351329075
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7940372707033566,0.7373417721518988,0.8105441112768927,0.7319838056680161,0.7646318154068851
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7960405348319575,0.7293248945147679,0.8105267443166323,0.7298349423855497,0.7612209839890295
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7954905779581471,0.7359177215189874,0.8105261928253998,0.7323575210214887,0.7645424881322584
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7970023259134141,0.7313818565400844,0.8104752149813095,0.7313920896916848,0.7627713493822956
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7991816624631393,0.7229430379746835,0.8103995604113523,0.7291497975708502,0.7591421857689753
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7940466112345688,0.7357067510548523,0.810361467407871,0.7312675179071941,0.763761577677048
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7951813737746153,0.7346518987341771,0.8102384948901828,0.7315789473684211,0.7637028216139176
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7954940171325021,0.7318037974683544,0.8102305634435514,0.730551230146372,0.7623098537333095
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7988876636968325,0.7247362869198313,0.8100788833004444,0.7297415135471816,0.7599976165675275
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8012456020441618,0.7243143459915612,0.810059611188654,0.7311118031765805,0.7608269196833014
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7960720624983816,0.7290611814345992,0.8100378824341018,0.7297415135471816,0.7610837342153574
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7970159867377041,0.7305379746835443,0.8098438377372416,0.7310183743382124,0.7623229044781235
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.794930609847459,0.7324894514767932,0.8097816596075788,0.7304578013080038,0.762424300699926
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7988914181857149,0.7260021097046414,0.8097622270619755,0.7303020865773903,0.7606997819629406
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8004446428602605,0.7249472573839663,0.809740839229276,0.7308626596075989,0.7608195611447114
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7944831995117217,0.7319620253164556,0.8095845065055911,0.7299283712239177,0.7619321299959713
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7941969775870603,0.7292721518987342,0.8095583959025203,0.7285580815945188,0.7603420586142671
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.7999282855843923,0.7159810126582278,0.8095440471033676,0.7265649330426659,0.7556251826515131
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7940954780559968,0.7316455696202533,0.809421495724439,0.7295235129243227,0.761582700849744
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.8003000700698581,0.716139240506329,0.8093956959618808,0.7268763625038928,0.7558780561050941
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",0.798830478792466,0.7254746835443038,0.8093904116731643,0.7300218000622859,0.760376785342263
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.7998658276612385,0.7160864978902953,0.8093607514719802,0.7265649330426658,0.7556560559756965
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.7996196162778526,0.7161919831223628,0.8092535215221961,0.726440361258175,0.7555989232291197
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.7981794236271635,0.7240506329113924,0.8092428025380629,0.7289317969479913,0.759290083180683
