fold,precision,recall,roc_auc,accuracy,f1
1,0.7964881980426022,0.7296940928270043,0.8078558421973014,0.7303020865773903,0.7616295072942472
2,0.8011347517730496,0.7447257383966245,0.8202135574593701,0.7401121146060418,0.7719010523438568
3,0.8024655963302753,0.7381329113924051,0.815178943864209,0.738087823108066,0.768956043956044
4,0.7894736842105263,0.7238924050632911,0.8006847515682404,0.722983494238555,0.7552620718118036
5,0.799543118218161,0.7383966244725738,0.8144502735396513,0.7362192463407038,0.7677543186180422
mean,0.7978210697149228,0.7349683544303798,0.8116766737257546,0.7335409529741513,0.7651005988047987
se,0.0023127144112974366,0.0036569692913394174,0.0033783001806922024,0.003106264952111456,0.0029748776795430207
