fold,precision,recall,roc_auc,accuracy,f1
1,0.8198547215496368,0.8092734225621415,0.8296704476135308,0.7598878853939582,0.8145297089247053
2,0.828300048709206,0.8128585086042065,0.8382616786020023,0.7682964808470881,0.8205066344993969
3,0.8286482522610609,0.8102294455066922,0.8404037595025606,0.7672064777327935,0.8193353474320242
4,0.8341943419434195,0.8104684512428298,0.8424155513065648,0.7715664901899719,0.8221602618499212
5,0.821142162818955,0.8076003824091779,0.8298482601920247,0.7600436001245718,0.8143149777081576
mean,0.8264279054564556,0.8100860420650096,0.8361199394433367,0.7654001868576767,0.8181693860828411
se,0.002644789385757746,0.0008570946977553035,0.0026786451346721787,0.002331876832518109,0.0015945688939496103
