model,outcome,upsample,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
Logistic Regression,mask,True,0.7985069304047254,0.003960846977674058,0.799 ± 0.004,0.7698701298701299,0.0032196722122240797,0.770 ± 0.003,0.842665663348788,0.002428832958464861,0.843 ± 0.002,0.7709436312675179,0.0022789743228247466,0.771 ± 0.002,0.783878259309156,0.0018410472793778895,0.784 ± 0.002
Logistic Regression,protective,True,0.8252334321016184,0.0023237881661677265,0.825 ± 0.002,0.7038718929254302,0.003853110499525466,0.704 ± 0.004,0.7859830718153501,0.003291862510741195,0.786 ± 0.003,0.7099657427592649,0.0034674422511230853,0.710 ± 0.003,0.7597291803345368,0.003167749155342286,0.760 ± 0.003
Logistic Regression,social_avoidance,True,0.7643055539797378,0.0024658480594879216,0.764 ± 0.002,0.6803270042194093,0.0034539367014150527,0.680 ± 0.003,0.7581873987261555,0.002833706484877839,0.758 ± 0.003,0.6873248209280598,0.0015856928829773795,0.687 ± 0.002,0.7198379573355705,0.0016937461979221336,0.720 ± 0.002
