fold,precision,recall,roc_auc,accuracy,f1
1,0.8041958041958042,0.7633477633477633,0.8462238696936024,0.7720336343818125,0.7832395617411904
2,0.8057467824004789,0.7769119769119769,0.8480454577174226,0.7785736530675802,0.7910667058477814
3,0.7888070692194403,0.7728715728715728,0.8341959622311331,0.7658050451572719,0.7807580174927113
4,0.7888399412628487,0.7751803751803752,0.8409255119434353,0.766739333540953,0.7819505094614265
5,0.804945054945055,0.7610389610389611,0.843937515158347,0.7715664901899719,0.7823765020026703
mean,0.7985069304047254,0.7698701298701299,0.842665663348788,0.7709436312675179,0.783878259309156
se,0.003960846977674058,0.0032196722122240797,0.002428832958464861,0.0022789743228247466,0.0018410472793778895
