model,outcome,best_params,upsample,precision,precision_se,precision_mean_se,recall,recall_se,recall_mean_se,roc_auc,roc_auc_se,roc_auc_mean_se,accuracy,accuracy_se,accuracy_mean_se,f1,f1_se,f1_mean_se
Random Forest,mask,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",True,0.8482576654857921,0.0027328174458426994,0.848 ± 0.003,0.8262626262626263,0.0026006072902900615,0.826 ± 0.003,0.8982251521446651,0.001912178320348917,0.898 ± 0.002,0.8265026471504205,0.0026280292058286753,0.827 ± 0.003,0.8371103846350181,0.0024496418925460963,0.837 ± 0.002
Random Forest,protective,"{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2}",True,0.8264279054564556,0.002644789385757746,0.826 ± 0.003,0.8100860420650096,0.0008570946977553035,0.810 ± 0.001,0.8361199394433367,0.0026786451346721787,0.836 ± 0.003,0.7654001868576767,0.002331876832518109,0.765 ± 0.002,0.8181693860828411,0.0015945688939496103,0.818 ± 0.002
Random Forest,social_avoidance,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2}",True,0.7861766007503,0.0022349540802870343,0.786 ± 0.002,0.759704641350211,0.0028760447448329413,0.760 ± 0.003,0.8086115355922414,0.0032328026584006577,0.809 ± 0.003,0.736094674556213,0.0022540480437951106,0.736 ± 0.002,0.772700394013977,0.0020222286619893622,0.773 ± 0.002
