params,precision_mean,recall_mean,roc_auc_mean,accuracy_mean,f1_mean
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.8440334655314479,0.7706500956022945,0.8382305800897756,0.7577701650576144,0.8056625831807022
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8469590412708345,0.7640535372848948,0.8381224721779381,0.7563064465898475,0.8033607044777915
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8475473170355287,0.761376673040153,0.8378912944670278,0.7552787293677982,0.8021441344271075
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8467296131618287,0.7627151051625238,0.8377330572913196,0.7554344440984118,0.802521589094415
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8467887023032779,0.7627629063097514,0.8376809843704345,0.7554967299906571,0.8025707364913377
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8465316196718676,0.7655831739961759,0.837666236071882,0.7568358766739334,0.8040107136155148
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8508923168836093,0.7548757170172085,0.8376382879927278,0.7540952974151355,0.8000008624167506
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8453877456751059,0.7687380497131932,0.8376319337294122,0.7577078791653691,0.8052347657960078
"{'colsample_bytree': 0.8, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8470419011943369,0.7636711281070746,0.8376131486047532,0.7561507318592339,0.8031787132661498
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8477015995079107,0.7630497131931167,0.8376050963114089,0.7562753036437248,0.8031310946047716
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 0.1, 'subsample': 1.0}",0.845326342674688,0.7689292543021032,0.8374099616907339,0.7577701650576144,0.805311665897379
"{'colsample_bytree': 0.6, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8456151372233842,0.7649139579349904,0.8373480316521341,0.7558393023980068,0.803237156436302
"{'colsample_bytree': 0.8, 'gamma': 0.1, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8459033590701146,0.7628585086042066,0.8373025265832474,0.7549361569604485,0.8022220874280643
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8495661259322178,0.757265774378585,0.8372955315538834,0.754469012768608,0.8007534313390623
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8463863229708564,0.7647227533460803,0.8372675621158606,0.7562753036437246,0.803479928267475
"{'colsample_bytree': 0.6, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 0.1, 'subsample': 1.0}",0.8485123844368317,0.7588432122370937,0.8372232104258617,0.7545935845530988,0.8011698199515894
"{'colsample_bytree': 0.6, 'gamma': 0.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8508867956503874,0.7531548757170172,0.8371795208607795,0.7531610090314544,0.7990302355406651
"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 7, 'min_child_weight': 5, 'reg_lambda': 1.0, 'subsample': 1.0}",0.8485110603911796,0.7562141491395794,0.8370187099414427,0.7531921519775769,0.7997024792020523
