fold,precision,recall,roc_auc,accuracy,f1
1,0.8462270133164236,0.7702741702741702,0.8709714664398465,0.800529430084086,0.8064662335700257
2,0.8344624447717232,0.8176046176046176,0.875376012406787,0.8140766116474618,0.8259475218658893
3,0.8301486199575372,0.7898989898989899,0.8685720434452258,0.7994394269697913,0.8095238095238095
4,0.8377962449984611,0.7855699855699856,0.8707644589281383,0.8022422921208346,0.8108430145963658
5,0.8230972671172495,0.8083694083694084,0.8664534616174793,0.8028651510432887,0.8156668608037274
mean,0.834346318032279,0.7943434343434344,0.8704274885674954,0.8038305823730925,0.8136894880719636
se,0.0038550500485850783,0.008407932435277118,0.001485478305779069,0.002632638331411774,0.003404409567215337
