fold,precision,recall,roc_auc,accuracy,f1
1,0.84508704632635,0.8265512265512266,0.9013085587992588,0.824665213329181,0.835716370002918
2,0.8521106259097525,0.8447330447330448,0.9047551704298407,0.8371223917782622,0.8484057971014493
3,0.8418293038159045,0.834054834054834,0.8977233077672713,0.8259109311740891,0.83792403595245
4,0.8459736456808199,0.8337662337662337,0.9012947973380845,0.8284023668639053,0.8398255813953488
5,0.8384839650145772,0.83001443001443,0.8964116745990267,0.8220180629087511,0.8342277012327773
mean,0.8446969173494807,0.8338239538239538,0.9002987017866964,0.8276237932108377,0.8392198971369886
se,0.002275624030469628,0.0030534401532344214,0.001476715358720471,0.0025878645170404496,0.002486197800987384
