fold,precision,recall,roc_auc,accuracy,f1
1,0.7620164126611958,0.6856540084388185,0.7596296385426191,0.6879476798505139,0.7218212104386452
2,0.7583405860168262,0.6893459915611815,0.7607641061430108,0.6868576767362192,0.7221991987843625
3,0.77072152653548,0.681698312236287,0.7639038961351494,0.6923076923076923,0.723481668066051
4,0.7608695652173914,0.6737869198312236,0.7473275737594455,0.6823419495484273,0.7146853146853147
5,0.7695796794677956,0.6711497890295358,0.7593117790505527,0.6871691061974463,0.7170023947034794
mean,0.7643055539797378,0.6803270042194093,0.7581873987261555,0.6873248209280598,0.7198379573355705
se,0.0024658480594879216,0.0034539367014150527,0.002833706484877839,0.0015856928829773795,0.0016937461979221336
