fold,precision,recall,roc_auc,accuracy,f1
1,0.7845773874862788,0.7539556962025317,0.8061923942340088,0.7324820928059794,0.7689618074233459
2,0.7874291880226598,0.7697784810126582,0.8176595514270588,0.7413578324509499,0.7785038005067342
3,0.7898332877835474,0.7621308016877637,0.8107007347868637,0.7398006851448147,0.7757348006978929
4,0.778319783197832,0.7573839662447257,0.7979702114517655,0.7293677981937091,0.7677091686714782
5,0.7907233572611817,0.7552742616033755,0.8105347860615104,0.7374649641856119,0.7725923927704343
mean,0.7861766007503,0.759704641350211,0.8086115355922414,0.736094674556213,0.772700394013977
se,0.0022349540802870343,0.0028760447448329413,0.0032328026584006577,0.0022540480437951106,0.0020222286619893622
