fold,precision,recall,roc_auc,accuracy,f1
1,0.7866792334275841,0.6603375527426161,0.771071978630216,0.6937091248832139,0.7179928315412186
2,0.7863871163780006,0.6824894514767933,0.781154190932281,0.7030520087200249,0.7307638006494424
3,0.7838253382533825,0.672204641350211,0.7735823667196098,0.6969791342260978,0.7237365133446905
4,0.7742030696576151,0.6917194092827004,0.7609242892782082,0.69884771099346,0.7306406685236769
5,0.7825814536340853,0.6587552742616034,0.7726825335707754,0.6904391155403301,0.7153493699885453
mean,0.7827352422701336,0.6731012658227848,0.7718830718262181,0.6966054188726254,0.7236966368095148
se,0.0022682722547882218,0.006341518259373319,0.003242168863598018,0.0021579837052228853,0.003165250616024178
