fold,precision,recall,roc_auc,accuracy,f1
1,0.8397602918186555,0.7703154875717018,0.8335736739987388,0.7545935845530988,0.8035402642732485
2,0.8494198312236287,0.7698374760994264,0.8426612316890423,0.7611336032388664,0.8076730190571715
3,0.8516454352441614,0.7669694072657743,0.8439266912379088,0.7611336032388664,0.807092555331992
4,0.8546850185283219,0.7717495219885278,0.8450111343780382,0.7658050451572719,0.8111027380055262
5,0.8434714210802308,0.7688814531548758,0.8335414755047955,0.756462161320461,0.8044511127781946
mean,0.8477963995789995,0.7695506692160612,0.8397428413617047,0.7598255995017129,0.8067719378892267
se,0.002722022628819495,0.0007941323004701902,0.0025523722067792238,0.0019730967376464727,0.0013323009423432965
