fold,precision,recall,roc_auc,accuracy,f1
1,0.8180286436394272,0.6962237093690249,0.7765199184262102,0.7011834319526628,0.7522272433828276
2,0.825405707890319,0.7050669216061185,0.7829468018939336,0.7106820305200872,0.7605052848672338
3,0.829275118947663,0.7081739961759083,0.7936516530909701,0.7148863282466521,0.7639551372953461
4,0.8309272626318712,0.7153441682600382,0.7932709312637445,0.7197134848956711,0.7688158232725405
5,0.8225304273988112,0.6945506692160612,0.7835260544018919,0.7033634381812519,0.7531424128547363
mean,0.8252334321016184,0.7038718929254302,0.7859830718153501,0.7099657427592649,0.7597291803345368
se,0.0023237881661677265,0.003853110499525466,0.003291862510741195,0.0034674422511230853,0.003167749155342286
