fold,precision,recall,roc_auc,accuracy,f1
1,0.8359214767067097,0.6818833652007649,0.7952611506107782,0.7055434444098412,0.7510859549822299
2,0.834524463991204,0.7256214149139579,0.803379549652534,0.7274992214263469,0.776272053183329
3,0.8394222599830077,0.7084130019120459,0.8007204239479049,0.7217377763936469,0.7683732987686326
4,0.8407917383820999,0.7005258126195029,0.8025343258372248,0.718467767050763,0.7642764015645371
5,0.8572828216851731,0.6273900573613767,0.7911562431117649,0.689193397695422,0.7245376759591499
mean,0.8415885521496389,0.6887667304015296,0.7986103386320413,0.712488321395204,0.7569090768915757
se,0.004084451712111046,0.016877494599835518,0.0023385477310911692,0.0068465980398350335,0.009062138417771993
