fold,precision,recall,roc_auc,accuracy,f1
1,0.8513755980861244,0.8216450216450216,0.89951039453914,0.8263780753659297,0.8362461448083419
2,0.8563405261602128,0.8360750360750361,0.9042158382706235,0.8358766739333541,0.8460864485981309
3,0.8409425625920471,0.823953823953824,0.8943679024166005,0.8209280597944566,0.8323615160349854
4,0.8488888888888889,0.8268398268398268,0.8992421924447624,0.8271566490189972,0.8377192982456141
5,0.8437407517016869,0.8227994227994228,0.8937894330521993,0.8221737776393647,0.8331385154880186
mean,0.8482576654857921,0.8262626262626263,0.8982251521446651,0.8265026471504205,0.8371103846350181
se,0.0027328174458426994,0.0026006072902900615,0.001912178320348917,0.0026280292058286753,0.0024496418925460963
